Type,Title,Organization,Status,Availability or Year,Geography,Community,Community Type,Best For,Project Stage,Topics,Summary,Why It May Help,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Funding,Transportation Alternatives Program and Recreational Trails Program,Maryland Department of Transportation State Highway Administration,Recurring,annual MDOT/SHA call; FFY2026 awards posted,Maryland,,,local governments; state agencies; eligible trail sponsors,Mixed,bike/ped; trails; Safe Routes; community transportation,"Funds trail systems, bike/ped links, and visitor access improvements.","Funds trail systems, bike/ped links, and visitor access improvements.",varies; FFY2026 awards posted,typically 80 percent federal; 20 percent match,https://onestop.md.gov/forms/mdot-tap-rtp-fy25-65fad4f292ba2000dfd805b8,2026-06-09,RERC-FND-0207
Funding,Commercial and Industrial Grant Program,Maryland Energy Administration,Recurring,"FY26 deadline Jan. 30, 2026; FY27 expected around Sep. 2026",Maryland,,,"Maryland commercial, industrial, data center, nonprofit, federal, and agricultural facilities",Mixed,energy efficiency; commercial facilities; nonprofits; agricultural facilities,Helps visitor-serving facilities lower operating costs and modernize buildings.,Helps visitor-serving facilities lower operating costs and modernize buildings,"FY2026 budget $8,400,000; max $200,000; up to 50% of eligible project cost; some low-income-serving facilities up to 100%",Project cost share generally required after other incentives,https://energy.maryland.gov/business/Pages/incentives/empowermdcigp.aspx,2026-06-09,RERC-FND-0194
Funding,Keep Maryland Beautiful Grants,Maryland Environmental Trust; Maryland DNR; MDOT; Maryland Department of Agriculture; Chesapeake Bay Trust,Recurring,"2026 applications due Dec. 1, 2025",Maryland,,,"Volunteer groups, nonprofits, communities, schools, local governments, and land trusts",Mixed,land trusts; stewardship; environmental education; community greening,"Supports land trusts, rural stewardship, and natural-resource protection connected to outdoor recreation assets.","Supports land trusts, rural stewardship, and natural-resource protection connected to outdoor recreation assets","2026 round about $357,000 total; Community Stewardship Grants $47,000 available",Varies by subprogram; not stated in reviewed release,https://news.maryland.gov/dnr/2025/09/15/keep-maryland-beautiful-grant-applications-now-being-accepted-for-2026,2026-06-09,RERC-FND-0198
Funding,Maryland Heritage Areas Authority Grants,Maryland Heritage Areas Authority; Maryland Historical Trust,Recurring,Annual cycle; verify current FY deadline with heritage area management entity,Maryland,,,"Local governments, nonprofits, and heritage-area partners with eligible projects in certified heritage areas",Mixed,heritage tourism; interpretation; capital; noncapital; planning,"Supports heritage trails, visitor interpretation, historic sites, and destination infrastructure.","Supports heritage trails, visitor interpretation, historic sites, and destination infrastructure","Generally up to $100,000 for capital or noncapital grants; mini-grants smaller",Generally 1:1 match,https://mht.maryland.gov/Documents/grants/Grants_MHAA_Guidelines.pdf,2026-06-09,RERC-FND-0202
Funding,Maryland Heritage Areas Authority Project Grants,Maryland Historical Trust; Maryland Heritage Areas Authority,Recurring,annual MHAA cycle,Maryland,,,nonprofits; local jurisdictions; state and federal agencies; heritage area partners,Mixed,heritage tourism; museums; trails; interpretation; historic preservation,"Directly funds heritage tourism, trail interpretation, visitor experiences, and cultural assets.","Directly funds heritage tourism, trail interpretation, visitor experiences, and cultural assets.",commonly up to $100000 for project grants,generally 1:1 match,https://mht.maryland.gov/planning-protection/maryland-heritage-areas-program/maryland-heritage-areas-program-project-grants,2026-06-09,RERC-FND-0203
Funding,MAERDAF and Rural Maryland Prosperity Investment Fund Grants,Rural Maryland Council,Cycle closed,"The FY2027 full application deadline was July 10, 2026.",Maryland,,,"Rural-serving nonprofits and organizations promoting statewide or regional rural planning, economic development, community development, agriculture, and forestry education",Mixed,rural economic development; entrepreneurship; infrastructure; agriculture; forestry education,"Flexible rural funding can support recreation-economy planning, entrepreneurship, and community infrastructure.","Flexible rural funding can support recreation-economy planning, entrepreneurship, and community infrastructure","FY2027 rural funding total $6,047,464; individual awards vary",Not stated in reviewed source,https://rural.maryland.gov/grant-opportunities,2026-07-13,RERC-FND-0200
Funding,Business Rebates and Incentives,Mass Save,Open when checked,Ongoing by equipment form and sponsor,Massachusetts,,,Business customers of participating Mass Save sponsors,Implementation,"HVAC, foodservice, lodging, refrigeration, controls","Rural inns, motels, restaurants, and municipal facilities can lower energy costs.","Rural inns, motels, restaurants, and municipal facilities can lower energy costs.",Measure-specific,Customer pays remaining cost,https://www.masssave.com/en/business/rebates-and-incentives,2026-06-09,RERC-FND-0208
Funding,Mass Save Business Rebates and Incentives,Mass Save Sponsors,Open when checked,Ongoing by measure and funding availability,Massachusetts,,,Businesses and commercial properties served by participating utilities,Mixed,"energy efficiency, lodging, restaurants, commercial buildings","Reduces operating costs for rural tourism businesses, outfitters, restaurants, lodging, and community facilities.","Reduces operating costs for rural tourism businesses, outfitters, restaurants, lodging, and community facilities",Varies by technology,Not applicable,https://www.masssave.com/en/business/rebates-and-incentives,2026-06-09,RERC-FND-0209
Funding,Rural Development Fund,Massachusetts Executive Office of Economic Development,Recurring,"FY27 One Stop round closed June 3, 2026",Massachusetts,,,Rural or small-town municipalities and public entities,Mixed,"rural infrastructure, community development, economic development",Funds small-town infrastructure and development work that can support recreation economy project readiness.,Funds small-town infrastructure and development work that can support recreation economy project readiness,$10M FY2026 and $10M FY2027 capital authorization,Not stated,https://budget.digital.mass.gov/capital/fy26/beneficiary-agency/economic-development/eo-of-economic-development/d038,2026-06-09,RERC-FND-0210
Funding,Land and Water Conservation Fund Grants,Michigan DNR,Recurring,April 1 annual DNR recreation grant cycle,Michigan,,,Local units of government and eligible public recreation providers,Mixed,parks; trails; outdoor recreation; acquisition; development,Funds public outdoor recreation assets central to rural recreation economies.,Funds public outdoor recreation assets central to rural recreation economies,"Commonly $30,000 to $500,000; guideline controls",50% match,https://www.michigan.gov/dnr/buy-and-apply/grants/rec/lwcf,2026-06-09,RERC-FND-0212
Funding,Michigan Natural Resources Trust Fund,Michigan DNR,Recurring,April 1 annually; recreation plans due February 1,Michigan,,,State and local units of government; eligible recreation authorities; some school districts,Mixed,parks; trails; land acquisition; public outdoor recreation,"Major Michigan source for community parks, trail systems, waterfront access, and conservation.","Major Michigan source for community parks, trail systems, waterfront access, and conservation","$15,000 to $400,000 for development; no stated cap for acquisition",Minimum 25% local match typical; verify guidelines,https://www.michigan.gov/dnr/buy-and-apply/grants/rec/mnrtf,2026-06-09,RERC-FND-0215
Funding,Recreation Passport Grant Program,Michigan DNR,Recurring,April 1 annually; 2026 round opened early 2026,Michigan,,,Local units of government with approved recreation plan,Mixed,local parks; recreation facilities; accessibility; park improvements,Funds small-town park improvements that improve visitor and resident recreation.,Funds small-town park improvements that improve visitor and resident recreation,"$7,500 to $150,000 typical",25% minimum typical,https://www.michigan.gov/dnr/about/newsroom/releases/2025/12/09/dnr-approves-recreation-grants-for-local-parks,2026-06-09,RERC-FND-0218
Funding,Waterways Grant-in-Aid Program,Michigan DNR Parks and Recreation Division,Cycle closed,"The 2026 awards were announced May 27, 2026; watch for the next annual round.",Michigan,,,Local units of government and eligible harbor or boating access sponsors,Mixed,boating; harbors; marinas; water access; dredging,"Water access and harbors drive fishing, paddling, marina, and waterfront tourism.","Water access and harbors drive fishing, paddling, marina, and waterfront tourism",FY2026 awards totaled about $4.0 million; project amounts vary,Local match required; project-specific,https://www.michigan.gov/dnr/buy-and-apply/grants/rec/waterways,2026-07-13,RERC-FND-0220
Funding,Michigan Coastal Management Program Grants,"Michigan Department of Environment, Great Lakes, and Energy",Available,FY2027 funding opportunity listed on program information,Michigan,,,"Coastal communities, nonprofits, Tribal Nations, public partners",Mixed,"coastal access, eco-tourism, resilience, coastal habitat","Funds Great Lakes public access, coastal eco-tourism, hazard mitigation, and resilient waterfront economies.","Funds Great Lakes public access, coastal eco-tourism, hazard mitigation, and resilient waterfront economies",Varies,None,https://www.michigan.gov/coastalmanagement,2026-06-09,RERC-FND-0645
Funding,Fisheries Habitat Grant Program,Michigan Department of Natural Resources,Recurring,"2026 full applications were due January 23, 2026",Michigan,,,"Local, state, federal, and Tribal governments; academic institutions; nonprofits",Mixed,"fisheries habitat, dam removal, aquatic access, conservation","Improves fishing resources, aquatic habitat, and water-based recreation assets.","Improves fishing resources, aquatic habitat, and water-based recreation assets","Minimum $25,000; up to available theme funds, cited up to $1.5M",10% minimum,https://www.michigan.gov/dnr/buy-and-apply/grants/aq-wl/fish-hab,2026-06-09,RERC-FND-0211
Funding,Wildlife Habitat Grant Program,Michigan Department of Natural Resources,Cycle closed,"The 2026 application deadline was June 25, 2026.",Michigan,,,"Government units, Tribal governments, for-profit and nonprofit organizations",Mixed,"wildlife habitat, grasslands, wetlands, connectivity","Supports habitat work that can strengthen hunting, birding, nature tourism, and conserved-land stewardship.","Supports habitat work that can strengthen hunting, birding, nature tourism, and conserved-land stewardship","$50,000 to $500,000",10% minimum,https://www.michigan.gov/dnr/buy-and-apply/grants/aq-wl/wildlife-hab,2026-07-13,RERC-FND-0221
Funding,Coastal Planning and Construction Grants,Michigan EGLE Coastal Management Program,Available,Annual GFO; 2026 awards posted,Michigan,,,Coastal local governments; nonprofits; universities; Tribal Nations,Mixed,coastal access; eco-tourism; resilient waterfronts; habitat; maritime heritage,"Helps coastal towns improve public access, waterfront resilience, and eco-tourism assets.","Helps coastal towns improve public access, waterfront resilience, and eco-tourism assets","Planning $10,000 to $75,000; low-cost construction $10,000 to $200,000",None,https://www.michigan.gov/egle/regulatory-assistance/funding/wrd/planning-and-construction-grants,2026-06-09,RERC-FND-0644
Funding,Match on Main,Michigan Economic Development Corporation,Recurring,"2026 window March 1 to April 24, 2026",Michigan,,,Eligible RRC or Michigan Main Street applicant organizations applying for selected businesses,Implementation,downtown business; outdoor space activation; facade-adjacent improvements; marketing,Helps recreation towns convert visitors into spending at local downtown businesses.,Helps recreation towns convert visitors into spending at local downtown businesses,"Up to $25,000 per project",No fixed match stated; private investment expected,https://www.miplace.org/small-business/match-on-main,2026-06-09,RERC-FND-0213
Funding,Public Spaces Community Places,Michigan Economic Development Corporation with MML and Patronicity,Open when checked,Rolling project campaigns,Michigan,,,Municipalities; nonprofits; community groups,Implementation,placemaking; public spaces; parks; plazas; accessibility; public art,"Funds the public spaces, trailhead plazas, murals, and gathering places that convert recreation traffic into downtown spending.","Funds the public spaces, trailhead plazas, murals, and gathering places that convert recreation traffic into downtown spending","Up to $50,000 MEDC match; up to $75,000 with universal design extension",1:1 crowdfunding match,https://www.miplace.org/programs/public-spaces-community-places/guidelines,2026-06-09,RERC-FND-0217
Funding,Michigan Humanities Grants,Michigan Humanities,Recurring,Regular grant cycles; verify current deadline,Michigan,,,"Cultural, educational, and community-based organizations",Mixed,heritage; interpretation; museums; culture; public programming,"Supports local stories, museums, interpretive trails, and heritage tourism.","Supports local stories, museums, interpretive trails, and heritage tourism","Up to $20,000",Unsure,https://www.michiganhumanities.org/humanities-grants,2026-06-09,RERC-FND-0214
Funding,Michigan Saves Commercial Loans,Michigan Saves,Open when checked,"Ongoing, lender-based",Michigan,,,Commercial and municipal customers,Construction,"energy efficiency, renewable energy, municipal facilities, commercial buildings","Provides low-cost capital for energy upgrades at tourism businesses, public facilities, and nonprofit recreation assets.","Provides low-cost capital for energy upgrades at tourism businesses, public facilities, and nonprofit recreation assets","$5,000 to $450,000,000 depending lender",Not applicable,https://michigansaves.org/commercial-loans,2026-06-09,RERC-FND-0216
Funding,Small Business Loans and Consulting,Venture North Funding and Development,Open when checked,Rolling loan and consulting inquiry,Michigan,,,Northwest Michigan small business owners not qualifying for bank financing,Mixed,rural entrepreneurship; shoreline communities; small business expansion,"Supports recreation-adjacent businesses in northern Michigan trail, lake, and downtown tourism communities.","Supports recreation-adjacent businesses in northern Michigan trail, lake, and downtown tourism communities.",Varies,Repayment required,https://www.venturenorthfunding.org/home,2026-06-09,RERC-FND-0219
Funding,Parks and Trails Legacy Grant Program,Greater Minnesota Regional Parks and Trails Commission with Minnesota DNR administration,Recurring,Annual GMRPTC process; legislative appropriation cycle,Minnesota,,,Counties and cities with regionally significant parks or trails,Mixed,regionally significant parks; trails; outdoor recreation,Designed for Greater Minnesota regional parks and trails that draw visitors.,Designed for Greater Minnesota regional parks and trails that draw visitors,Varies by legislative recommendation,Varies,https://www.dnr.state.mn.us/grants/recreation/pt_legacy.html,2026-06-09,RERC-FND-0228
Funding,"Rural Needs and Economic, Community and Workforce Development Grants",Initiative Foundation and partners,Recurring,"The listed Rural Needs round ended June 30, 2026; check for another 2026 cycle.",Minnesota,,,Central Minnesota nonprofits and eligible organizations,Mixed,"rural needs, economic development, workforce, community capacity","Funds rural pilots, planning, and community capacity that can support recreation-economy businesses and amenities.","Funds rural pilots, planning, and community capacity that can support recreation-economy businesses and amenities",Varies,Not stated,https://ifound.org/grants/grants-available,2026-07-13,RERC-FND-0230
Funding,Environment and Natural Resources Trust Fund,Legislative-Citizen Commission on Minnesota Resources,Recurring,Annual LCCMR RFP and legislative appropriation cycle,Minnesota,,,"Public agencies, nonprofits, universities, local partners, Tribal partners depending RFP",Mixed,"conservation, education, outdoor recreation, natural resources","Supports nonstandard conservation, education, parks, trails, nature access, and outdoor recreation projects.","Supports nonstandard conservation, education, parks, trails, nature access, and outdoor recreation projects",FY2027 appropriations listed at about $102M,Not stated,https://www.lccmr.mn.gov/projects/2026/2026_appropriations_by_subdivision.html,2026-06-09,RERC-FND-0224
Funding,Clean Water Legacy Partners Grant Program,Minnesota Board of Water and Soil Resources,Recurring,"FY27 RFP open February 18 to May 19, 2026",Minnesota,,,Eligible partner organizations and local governments,Mixed,"clean water, partnerships, habitat, watershed restoration","Helps protect rivers, lakes, wetlands, and water quality that underpin paddling, fishing, and lake-based tourism.","Helps protect rivers, lakes, wetlands, and water quality that underpin paddling, fishing, and lake-based tourism",Varies,See RFP,https://bwsr.state.mn.us/node/10516,2026-06-09,RERC-FND-0223
Funding,Business Energy Efficiency Grant Program,"Minnesota Chamber Environmental Sustainability Foundation, Energy Smart",Open when checked,"Applications close November 16, 2026",Minnesota,,,Xcel Energy or CenterPoint Energy commercial or industrial customers; Minnesota Chamber members,Mixed,"energy efficiency, commercial buildings, restaurants, lodging",Reduces energy project costs for small businesses and visitor-serving facilities.,Reduces energy project costs for small businesses and visitor-serving facilities,"Up to $5,000; up to $7,000 for Minnesota Chamber members",Tied to utility rebate; LED projects half rebate or 60% in EJ areas; other projects 4x or 5x rebate,https://d15k2d11r6t6rl.cloudfront.net/pub/bfra/la2h29b2/cow/hmm/ywv/2026%20Grant%20information.pdf,2026-06-09,RERC-FND-0222
Funding,Federal Recreational Trail Program,Minnesota DNR,Recurring,"2026 deadline was February 27, 2026",Minnesota,,,"Units of government, preferably with local trail organizations",Mixed,trails; trailheads; equipment; maintenance; accessibility,Direct trail development and maintenance funding for recreation-economy communities.,Direct trail development and maintenance funding for recreation-economy communities,"$2,500 to $200,000 trail grants; up to $75,000 equipment",Match required; verify 2026 manual,https://www.dnr.state.mn.us/rfp,2026-06-09,RERC-FND-0225
Funding,Local Trail Connections Program,Minnesota DNR,Recurring,"2026 deadline was March 31, 2026",Minnesota,,,Counties; cities; townships,Mixed,local trail links; parks; downtown connections; access,"Connects residents and visitors between lodging, downtowns, parks, trails, and historic areas.","Connects residents and visitors between lodging, downtowns, parks, trails, and historic areas","$5,000 to $250,000",25% non-state cash match,https://www.dnr.state.mn.us/grants/recreation/trails_local.html,2026-06-09,RERC-FND-0226
Funding,Outdoor Recreation Grant Program,Minnesota DNR,Recurring,"2026 round closed March 31, 2026",Minnesota,,,Cities; counties; townships,Mixed,parks; outdoor recreation; playgrounds; sports; public access,Funds close-to-home recreation infrastructure for rural towns.,Funds close-to-home recreation infrastructure for rural towns,"$50,000 to $500,000",50% implied by total project thresholds; verify manual,https://www.dnr.state.mn.us/grants/recreation/outdoor_rec/outdoor-recreation-grant-program-documents.html,2026-06-09,RERC-FND-0227
Funding,Regional Trail Grant Program,Minnesota DNR,Recurring,"2026 deadline was March 31, 2026",Minnesota,,,Counties; cities; townships,Mixed,regional trails; statewide-significant trails; cultural resources,Funds destination-scale trails that can anchor rural visitor economies.,Funds destination-scale trails that can anchor rural visitor economies,"$5,000 to $300,000",25% non-state cash match,https://www.dnr.state.mn.us/grants/recreation/trails_regional.html,2026-06-09,RERC-FND-0229
Funding,MS Delta Cultural Heritage Grants,Mississippi Delta National Heritage Area,Cycle closed,"The 2026 application deadline was June 12, 2026.",Mississippi,,,Organizations with eligible Delta heritage projects,Implementation,"Delta heritage, culture, river landscapes, tourism","Funds heritage tourism projects tied to river, land, blues, civil rights, and Delta community identity.","Funds heritage tourism projects tied to river, land, blues, civil rights, and Delta community identity","Up to $25,000",Match required; nonfederal match allowed,https://www.msdeltaheritage.com/grants,2026-07-13,RERC-FND-0233
Funding,Community Heritage Preservation Grant and Historic Site Preservation Grant,Mississippi Department of Archives and History,Recurring,Annual board award cycles,Mississippi,,,Certified Local Government communities and eligible historic-property sponsors,Mixed,"historic preservation, heritage tourism, downtown assets","Preserves courthouse, school, and historic-site assets that can serve heritage tourism and downtown revitalization.","Preserves courthouse, school, and historic-site assets that can serve heritage tourism and downtown revitalization",Varies; January 2026 awards totaled nearly $3M for Community Heritage Preservation,See program materials,https://www.mdah.ms.gov/historic-preservation/preservation-planning-development,2026-06-09,RERC-FND-0232
Funding,Mississippi Tourism Rebate Program,Mississippi Development Authority,Open when checked,"Authority extended through June 30, 2027",Mississippi,,,Qualified new tourism-oriented enterprises,Mixed,tourism attractions; marinas; outdoor adventure parks; museums; resorts,"Can support private recreation attractions, marinas, museums, and destination projects.","Can support private recreation attractions, marinas, museums, and destination projects",Sales tax rebate up to 15 years; investment thresholds apply,Not a match program,https://mississippi.org/wp-content/uploads/tourism-rebate-program.pdf,2026-06-09,RERC-FND-0237
Funding,Mississippi Main Street Revitalization Grant Program,Mississippi Development Authority with Mississippi Main Street Association,Recurring,Funding was authorized in 2026; check with the program for the next application window.,Mississippi,,,Main Street designated communities and eligible Main Street member organizations,Mixed,downtown revitalization; historic commercial districts; facade; public-private reinvestment,Helps recreation towns improve visitor-facing downtowns and historic districts.,Helps recreation towns improve visitor-facing downtowns and historic districts,"Up to $500,000 per eligible community",Guidelines control,https://www.msmainstreet.com/press-releases/details/governor_approves_10m_for_mississippi_main_street_revitalization_grant_program,2026-07-13,RERC-FND-0234
Funding,Community Grants Program,Mississippi Hills National Heritage Area,Recurring,"2026 deadline was January 30, 2026",Mississippi,,,Eligible organizations in the heritage area,Mixed,"heritage tourism, culture, recreation, interpretation",Supports cultural and natural-resource tourism in northeast Mississippi communities.,Supports cultural and natural-resource tourism in northeast Mississippi communities,Varies,See guidelines,https://mississippihills.org/grants,2026-06-09,RERC-FND-0231
Funding,Mississippi Outdoor Stewardship Trust Fund,Mississippi Outdoor Stewardship Trust Fund Board through DFA,Recurring,"Next application acceptance expected August 3 to September 18, 2026; program preparation begins July 1",Mississippi,,,Counties; municipalities; state agencies; nongovernmental entities,Mixed,outdoor recreation; parks; trails; public water access; conservation; habitat,One of Mississippi's strongest direct fits for nature-based recreation and conservation.,One of Mississippi's strongest direct fits for nature-based recreation and conservation,Varies; 2025 awards ranged from small projects to multimillion-dollar awards,Project-specific; financial makeup scored,https://www.dfa.ms.gov/mostf-application,2026-06-09,RERC-FND-0235
Funding,TVA EnergyRight Business and Industry Incentives,Tennessee Valley Authority and local power companies,Open when checked,TVA fiscal year October to September; funding availability applies,Mississippi,,,"Business, commercial, industrial, and government customers served by TVA or local power companies",Mixed,"energy efficiency, industrial, commercial, government facilities",Helps public and private recreation-economy facilities cut energy costs and finance upgrades.,Helps public and private recreation-economy facilities cut energy costs and finance upgrades,Up to 70% of material cost; maximum $3M per organization per TVA fiscal year,Not applicable,https://energyright.com/business-industry/incentives/applying-for-incentives,2026-06-09,RERC-FND-0238
Funding,BizSavers Business Energy Efficiency,Ameren Missouri,Open when checked,Ongoing,Missouri,,,Ameren Missouri business customers,Mixed,"HVAC, lighting, controls, custom projects, business efficiency",Recreation economy businesses can reinvest utility savings into operations and guest experience.,Recreation economy businesses can reinvest utility savings into operations and guest experience.,Measure-specific cash incentives,Customer pays remaining cost,https://www.ameren.com/bizee,2026-06-09,RERC-FND-0239
Funding,Community Foundation of the Ozarks Rural Vitality and Affiliate Grants,Community Foundation of the Ozarks,Open when checked,Multiple 2026 affiliate and competitive cycles,Missouri,,,"501(c)(3) nonprofits and other IRS-approved entities such as governments, schools, and churches depending grant",Mixed,"rural vitality, community development, youth, local quality of life","Offers localized rural funding that can support trailside amenities, youth outdoor programs, downtown vitality, and community capacity.","Offers localized rural funding that can support trailside amenities, youth outdoor programs, downtown vitality, and community capacity","Rural Vitality example: $209,631 awarded to 13 agencies; affiliate grants vary",Not stated,https://www.cfozarks.org/find-grants,2026-06-09,RERC-FND-0242
Funding,Missouri Arts Council Annual Grants,Missouri Arts Council,Recurring,"FY2027 final deadline was February 23, 2026; annual cycle recurring",Missouri,,,Missouri nonprofits and eligible arts organizations,Mixed,arts; festivals; folk arts; multidisciplinary culture; education,Supports festivals and cultural programming that extend rural visitor stays.,Supports festivals and cultural programming that extend rural visitor stays,Varies,Award cannot exceed 50% of total project expenses,https://missouriartscouncil.org/grants,2026-06-09,RERC-FND-0245
Funding,CDBG Competitive Cycle,Missouri Department of Economic Development,Open when checked,"May 4 to July 31, 2026",Missouri,,,Non-entitlement communities,Construction,community facilities; infrastructure; demolition; public safety,"Can fund public facilities, infrastructure, and blight removal in recreation towns.","Can fund public facilities, infrastructure, and blight removal in recreation towns","Up to $500,000 or $5,000 per benefiting household",Unsure,https://ded.mo.gov/programs/community/community-development-block-grants-competitive-cycle,2026-06-09,RERC-FND-0240
Funding,CDBG Downtown Revitalization,Missouri Department of Economic Development,Open when checked,Open year-round until funds exhausted,Missouri,,,Non-entitlement cities and counties,Mixed,downtown revitalization; facades; code corrections; infrastructure,Directly improves visitor-facing historic downtowns and commercial districts.,Directly improves visitor-facing historic downtowns and commercial districts,"Up to $750,000 total; up to $75,000 per building",20% local public or private match,https://ded.mo.gov/programs/community/community-development-block-grants-economic-development,2026-06-09,RERC-FND-0241
Funding,Neighborhood Preservation Act,Missouri Department of Economic Development,Recurring,"2026 application period opened February 9; postmark deadline March 27, 2026",Missouri,,,Eligible residential property owners and project applicants,Implementation,"neighborhood revitalization, housing rehab, historic neighborhoods",Helps stabilize older neighborhoods and visitor-facing community fabric near rural downtown assets.,Helps stabilize older neighborhoods and visitor-facing community fabric near rural downtown assets,Tax credit varies by qualified rehab,Private investment required,https://ded.mo.gov/programs/community/neighborhood-preservation-act-npa,2026-06-09,RERC-FND-0247
Funding,Scrap Tire Surface Material Grants,Missouri Department of Natural Resources,Available,"2026 application period closed March 31, 2026",Missouri,,,"Eligible schools, parks, nonprofit, and public facility sponsors per application",Mixed,"playgrounds, trails, surfacing, recycled materials","Can fund trail, playground, and recreation surfacing with recycled tire material.","Can fund trail, playground, and recreation surfacing with recycled tire material",Available funds announced annually,None,https://dnr.mo.gov/waste-recycling/financial-assistance-opportunities/scrap-tire-surface-material-grant,2026-06-09,RERC-FND-0647
Funding,Energy Efficiency and Conservation Block Grant Program,Missouri Department of Natural Resources Division of Energy,Available,2026 program cycle; verify application date,Missouri,,,Cities and counties not eligible for direct federal formula funds,Implementation,energy efficiency; emissions reduction; municipal energy projects,Helps rural communities improve energy performance of visitor-serving public assets.,Helps rural communities improve energy performance of visitor-serving public assets,Up to $2.36 million statewide available to eligible cities and counties,None,https://dnr.mo.gov/energy/financial-assistance-opportunities/efficiency-conservation-block-grant,2026-06-09,RERC-FND-0646
Funding,Energy Loan Program,Missouri Department of Natural Resources Division of Energy,Open when checked,Revolving program; no fixed grant deadline listed,Missouri,,,Local governments; public schools; colleges; public airports; water and wastewater facilities; nonprofit hospitals,Implementation,energy efficiency; renewable energy; municipal facilities; cost savings,"Can lower operating costs for recreation centers, public buildings, airports, and water facilities.","Can lower operating costs for recreation centers, public buildings, airports, and water facilities",Varies by loan fund availability,Loan repayment; not a match grant,https://dnr.mo.gov/energy/what-were-doing/energy-loan-program,2026-06-09,RERC-FND-0243
Funding,Transportation Alternatives Program,Missouri Department of Transportation,Recurring,Competitive every two years in even years,Missouri,,,Local public agencies,Construction,bike-ped; trails; safe routes; scenic byways; transportation alternatives,"Funds bike-ped and trail links between downtowns, parks, schools, and visitor assets.","Funds bike-ped and trail links between downtowns, parks, schools, and visitor assets",Varies by allocation,20% minimum local match; up to 80% federal reimbursement,https://www.modot.org/transportation-alternatives-program-tap,2026-06-09,RERC-FND-0249
Funding,Missouri Humanities Grants,Missouri Humanities,Recurring,Multiple deadlines; notifications six weeks after deadline,Missouri,,,Nonprofits and public humanities partners,Implementation,heritage; veterans; literacy; film; public humanities,"Funds interpretation, local history, and heritage tourism programming.","Funds interpretation, local history, and heritage tourism programming",Mini and Major grants; amount varies,Unsure,https://mohumanities.org/grants,2026-06-09,RERC-FND-0246
Funding,Recreational Trails Program Grants,Missouri State Parks,Recurring,2026 round closed; 2027 round opens in December,Missouri,,,Local and state governments; school districts; nonprofits,Mixed,trails; trailheads; easements; trail restoration; accessibility,Direct support for trail systems that attract outdoor visitors.,Direct support for trail systems that attract outdoor visitors,"Up to $250,000",Minimum 20% match,https://mostateparks.com/page/recreational-trails-program-rtp-grants,2026-06-09,RERC-FND-0248
Funding,MOBUCK$ Linked Deposit Program,Missouri State Treasurer,Open when checked,"Small Business portal opened April 1, 2026 until allocation depleted",Missouri,,,"Missouri small businesses, agriculture, governmental entities, and other eligible borrowers",Construction,"small business, agriculture, local government, alternative energy","Provides cheaper capital for rural outfitters, agritourism, lodging, food businesses, and local-government improvements.","Provides cheaper capital for rural outfitters, agritourism, lodging, food businesses, and local-government improvements",$100M small-business allocation reopening in 2026; loans get about 2% to 3% interest reduction,Lender underwriting required,https://www.treasurer.mo.gov/content/low-interest-loans,2026-06-09,RERC-FND-0244
Funding,Transportation Alternatives Program,Montana DOT,Recurring,Check with the program,Montana,,,"Local governments; tribal governments; regional transportation authorities; transit agencies; natural-resource/public-land agencies; schools; MPOs serving urbanized areas of 200,000 or fewer; nonprofits with an eligible public partner",Mixed,Infrastructure; Recreation; Conservation; Energy/Climate,"Smaller-scale transportation projects such as pedestrian and bicycle facilities, safe routes, community improvements, overlooks, and environmental mitigation.",May support rural community goals related to infrastructure and recreation. Confirm current eligibility and project fit with the program.,"Offers competitive funding based on available federal apportionments, which in 2025 totaled over $8.9 million","Yes, 13.42%",https://www.fhwa.dot.gov/environment/transportation_alternatives,2026-06-09,RERC-FND-0254
Funding,Off-Highway Vehicle Grant Program,"Montana Fish, Wildlife and Parks",Recurring,"Annual cycle, typically winter application window",Montana,,,Clubs; agencies; nonprofits; trail partners,Implementation,motorized trails; trail maintenance; safety; access,Supports motorized recreation infrastructure and stewardship in gateway communities.,Supports motorized recreation infrastructure and stewardship in gateway communities.,Varies,Unsure,https://fwp.mt.gov/aboutfwp/grant-programs/off-highway-vehicle,2026-06-09,RERC-FND-0251
Funding,Recreational Trails Program,"Montana Fish, Wildlife and Parks",Recurring,Annual cycle,Montana,,,Public agencies; tribes; nonprofits; trail organizations,Mixed,trails; trailheads; outdoor recreation; maintenance,"Direct fit for trail systems, trailheads, and rural recreation access.","Direct fit for trail systems, trailheads, and rural recreation access.",Varies; federal RTP allocation,Usually 20% local match,https://fwp.mt.gov/aboutfwp/grant-programs/recreational-trails,2026-06-09,RERC-FND-0252
Funding,Trail Stewardship Grant Program,"Montana Fish, Wildlife and Parks",Recurring,Current cycle closed; next cycle expected fall 2026 for 2027 grants,Montana,,,Public agencies; nonprofits; trail stewardship partners,Implementation,trails; stewardship; maintenance; volunteer capacity,Helps rural recreation communities keep high-use trails safe and maintained.,Helps rural recreation communities keep high-use trails safe and maintained.,"Up to $100,000",10% match,https://fwp.mt.gov/aboutfwp/grant-programs/trail-stewardship,2026-06-09,RERC-FND-0253
