item_id,item_type,title,organization,status,last_checked,geography,eligible_users,project_stage,topic_tags,support_type,amount_or_cost,match_or_cost,deadline_or_availability,summary,why_it_matters
RERC-FND-0134,Funding,Illinois Prairie Community Foundation Environment and Nature Grants,Illinois Prairie Community Foundation,Recurring,2026-06-09,Illinois,Eligible nonprofits and public/religious tax-exempt organizations serving the foundation region,Implementation,environment; nature; biodiversity; resource conservation; environmental justice,Grant,"2026 awards totaled $26,587 across 8 grants",Not stated on program,"Next cycle listed for September 1-30, 2026","Small regional grants can support habitat, river cleanup, outdoor education, and local stewardship projects.","Small regional grants can support habitat, river cleanup, outdoor education, and local stewardship projects"
RERC-FND-0136,Funding,Lumpkin Family Foundation Nature-Based Climate Action Program,Lumpkin Family Foundation,Open when checked,2026-06-09,Illinois,Organizations aligned with program focus,Mixed,habitat restoration; carbon drawdown; rural climate action; land stewardship,Grant,"Varies; program information reports $3,408,955 donated across 91 grants",Not stated on program,2026 LOIs accepted June 29-July 31; invited applications due September 8; awards October 9,Funds rural habitat and climate projects that can improve outdoor recreation landscapes and community health.,Funds rural habitat and climate projects that can improve outdoor recreation landscapes and community health
RERC-FND-0138,Funding,Prairie State Conservation Fund Land Acquisition and Conservation Easements,Prairie State Conservation Coalition,Recurring,2026-06-09,Illinois,501(c)(3) nonprofits and units of local government with open-space authority,Acquisition,land acquisition; conservation easements; public access; wildlife habitat,Grant,Not stated on page; fund capitalized by $47M final ICECF grant,At least 20% of purchase price,Full proposals currently closed; award notices late spring after review,Protects publicly accessible natural areas that can become rural recreation and conservation tourism assets.,Protects publicly accessible natural areas that can become rural recreation and conservation tourism assets
RERC-FND-0139,Funding,Prairie State Conservation Fund Stewardship Challenge Grant Program,Prairie State Conservation Coalition,Recurring,2026-06-09,Illinois,501(c)(3) organizations,Mixed,habitat restoration; volunteer stewardship; equipment; public access,Grant,"Up to $30,000","3:1 cash donation match up to $21,000; volunteer and equipment categories included",Full proposals currently closed; award notices late spring after review,"Helps local groups restore and maintain public natural areas that support trails, paddling, wildlife viewing, and outdoor education.","Helps local groups restore and maintain public natural areas that support trails, paddling, wildlife viewing, and outdoor education"
RERC-FND-0145,Funding,Duke Energy Foundation Indiana Grants,Duke Energy Foundation,Open when checked,2026-06-09,Indiana,Nonprofits and eligible organizations in Duke Energy Indiana counties,Mixed,community revitalization; local economic development; land conservation; climate resilience,Grant,"$20,000 or less accepted on rolling basis",Not stated,Rolling applications after contacting state representative,"Supports rural community revitalization, conservation, and resilience projects in utility-service counties.","Supports rural community revitalization, conservation, and resilience projects in utility-service counties"
RERC-FND-0148,Funding,Hoosier Energy Economic Development Assistance,Hoosier Energy,Open when checked,2026-06-09,Indiana,Organizations and businesses considering operations in Hoosier Energy member-service areas,Mixed,site readiness; rural development; business attraction; USDA coordination,Rebate,Not a direct grant amount; assistance and USDA coordination vary,Not applicable,Ongoing assistance,"Helps rural communities package sites, incentives, and utility financing for recreation-economy employers.","Helps rural communities package sites, incentives, and utility financing for recreation-economy employers"
RERC-FND-0142,Funding,Arts Project Support,Indiana Arts Commission,Recurring,2026-06-09,Indiana,Nonprofits; 501(c)(6) tourism entities; local governments; schools; libraries,Implementation,arts festivals; exhibits; public art; cultural planning; tourism entities,Grant,Varies; FY26 awards commonly up to $4k,Unsure,FY27 fall opens Jul 7 2026 and due Sept 3 2026,Supports cultural events and public art that strengthen recreation-town visitor appeal.,Supports cultural events and public art that strengthen recreation-town visitor appeal.
RERC-FND-0151,Funding,Land and Water Conservation Fund,Indiana DNR Division of State Parks,Recurring,2026-06-09,Indiana,Eligible governmental units,Mixed,parks; trails; campgrounds; boating; natural areas,Grant,Varies,50 percent cost share,program information current; application timing per DNR,Funds parks and outdoor recreation facilities used by residents and visitors.,Funds parks and outdoor recreation facilities used by residents and visitors.
RERC-FND-0150,Funding,Indiana EDGE Tax Credit,Indiana Economic Development Corporation,Open when checked,2026-06-09,Indiana,Businesses creating jobs and investing in Indiana,Mixed,job creation; capital investment; business expansion,Rebate,Negotiated performance-based tax credit,Company performance requirements,Ongoing IEDC incentive process,"Can support outdoor product, hospitality, logistics, and recreation-adjacent businesses expanding in rural areas.","Can support outdoor product, hospitality, logistics, and recreation-adjacent businesses expanding in rural areas"
RERC-FND-0149,Funding,Indiana Brownfields Program Financial Assistance,Indiana Finance Authority / Indiana Brownfields Program,Recurring,2026-07-13,Indiana,Public and private borrowers; subgrants to eligible political subdivisions and nonprofits,Mixed,brownfields; redevelopment; environmental cleanup; infill,Rebate,Program includes $2M five-year statewide assessment grant and RLF incentive; project amounts vary,Loan/subgrant terms vary,Financial assistance remains a program area; check with the program for a current round.,"Helps convert vacant or contaminated rural properties into trailheads, lodging, food hubs, parks, or downtown assets.","Helps convert vacant or contaminated rural properties into trailheads, lodging, food hubs, parks, or downtown assets"
RERC-FND-0144,Funding,CreatINg Places,Indiana Housing and Community Development Authority and Patronicity,Open when checked,2026-06-09,Indiana,501(c)(3) or 501(c)(4) nonprofits; local units of government,Implementation,placemaking; plazas; parks; riverwalks; canoe livery; trails; wayfinding,Grant,$5k-$50k match,Dollar-for-dollar crowdfunding match,Rolling until funds disbursed,Flexible match for small public-space projects in rural recreation communities.,Flexible match for small public-space projects in rural recreation communities.
RERC-FND-0146,Funding,Efroymson Family Endangered Places Grants,Indiana Landmarks,Recurring,2026-06-09,Indiana,Nonprofit organizations,Mixed,historic preservation; structural assessments; restoration estimates; downtown buildings,Loan,"$1,000-$10,000; average about $5,000",Not stated,"2026 grant and loan information active; related education grant deadlines February 28 and September 30, 2026",Helps reuse historic rural downtown and visitor-facing buildings before capital funding is available.,Helps reuse historic rural downtown and visitor-facing buildings before capital funding is available
RERC-FND-0143,Funding,CDBG Construction Grants,Indiana Office of Community and Rural Affairs,Recurring,2026-06-09,Indiana,Rural units of local government,Mixed,public facilities; main street; stormwater; water; blight,Grant,Varies; stormwater up to $750k,10 percent match for stormwater; other rules vary,2026 Round 1 applications due Jun 7 2026,"Funds downtown, public facility, and infrastructure needs in rural recreation towns.","Funds downtown, public facility, and infrastructure needs in rural recreation towns."
RERC-FND-0153,Funding,Taking Care of Main Street,Indiana Office of Community and Rural Affairs,Recurring,2026-06-09,Indiana,Indiana Accredited or Nationally Accredited Main Street organizations,Mixed,main street capacity; accreditation; operations; downtown management,Grant,$5k-$25k; $150k total awards,1:1 cash match,Program-specific cycle,Builds the local organization capacity needed to manage visitor-serving downtown districts.,Builds the local organization capacity needed to manage visitor-serving downtown districts.
RERC-FND-0147,Funding,Empowering Energy Partnerships in Indiana Communities,Indiana Office of Energy Development,Open when checked,2026-06-09,Indiana,Nonprofits; for-profits; higher education; local governments,Mixed,energy efficiency; resilience; alternative fueling; clean energy,Grant,Approximately $2.5M total; expected $300k-$500k awards,At least 20 percent match,Current deadline not verified,Can reduce costs and improve resilience for visitor-serving community facilities.,Can reduce costs and improve resilience for visitor-serving community facilities.
RERC-FND-0152,Funding,NIPSCO Environmental Action Grant,NIPSCO and NiSource Charitable Foundation,Recurring,2026-06-09,Indiana,501(c)(3) or other IRS-recognized nonprofits with environmental restoration or education projects,Implementation,environmental restoration; outdoor education; habitat; stewardship,Grant,"Generally $500-$5,000; 2026 recipients announced",Not stated,2026 cycle opened February 2026; recipients announced around Earth Day,"Funds trailside habitat, land-trust programming, pollinator projects, and outdoor education in northern Indiana.","Funds trailside habitat, land-trust programming, pollinator projects, and outdoor education in northern Indiana"
RERC-FND-0158,Funding,Iowa Business Rebates and Custom Rebates,Alliant Energy,Open when checked,2026-06-09,Iowa,"Iowa commercial, industrial, farm, and small business customers",Implementation,"foodservice, EV chargers, refrigeration, custom efficiency",Rebate,Measure-specific,Customer pays remaining cost,Ongoing,Rural Iowa visitor businesses can combine standard and custom efficiency support.,Rural Iowa visitor businesses can combine standard and custom efficiency support.
RERC-FND-0161,Funding,Small-town Dreams Initiative,Community Foundation of Greater Dubuque,Open when checked,2026-06-09,Iowa,Participating small towns and affiliate community foundations,Mixed,rural vitality; community endowment; placemaking; local leadership,Grant,"Match structure varies; example builds $450,000 community endowment",Local fundraising match required,Community participation campaign; no single public deadline posted,"Builds durable local funding for rural quality-of-place, downtown, trail, and visitor-community projects.","Builds durable local funding for rural quality-of-place, downtown, trail, and visitor-community projects."
RERC-FND-0155,Funding,Community Attraction and Tourism Grant,Enhance Iowa Board; Iowa Economic Development Authority,Recurring,Not recorded,Iowa,Cities; counties; public nonprofit organizations; school districts with local partner,Mixed,attractions; recreation; culture; entertainment; vertical infrastructure; trails,Financing,Varies; FY2025 allocation was $10M,Local financing required; see guidelines,Check with the program for application timing.,Grant support for recreation.,Funds transformational recreation and tourism facilities in rural regions.
RERC-FND-0159,Funding,REAP City Parks and Open Space,Iowa DNR,Recurring,2026-06-09,Iowa,Cities and local sponsors by REAP category,Mixed,city parks; open space; conservation; recreation,Grant,Varies by annual REAP appropriation,Unsure,Annual REAP cycles by category,Supports parkland expansion and recreation development in small communities.,Supports parkland expansion and recreation development in small communities.
RERC-FND-0154,Funding,Choose Iowa Dairy Innovation Grants,Iowa Department of Agriculture and Land Stewardship / Choose Iowa,Cycle closed,2026-07-13,Iowa,Eligible dairy farmers and processors,Mixed,local food; value-added processing; agritourism-adjacent business; rural enterprise,Grant,Amount not stated in retrieved press snippet; program has leveraged about $6.34M in on-farm investment since launch,Cost-share; exact 2026 match should be confirmed in application materials,The listed 2026 application round has ended; watch for the next annual round.,Supports local food production and farm-based experiences that can strengthen rural visitor economies.,Supports local food production and farm-based experiences that can strengthen rural visitor economies
RERC-FND-0157,Funding,Federal Recreational Trails Program,Iowa Department of Transportation,Recurring,2026-06-09,Iowa,Eligible public and nonprofit trail sponsors,Mixed,trails; trailheads; trail-related projects,Grant,Varies,Federal-aid match requirements,Federal application deadline Oct 1 annually,Supports motorized and nonmotorized trail assets used by visitors.,Supports motorized and nonmotorized trail assets used by visitors.
RERC-FND-0162,Funding,State Recreational Trails Program,Iowa Department of Transportation,Open when checked,2026-06-09,Iowa,State or local government agencies; municipal corporations; counties; nonprofits,Mixed,recreational trails; acquisition; construction; improvement,Grant,Varies,Unsure,Applications due Jul 1 2026; awards anticipated Oct 2026,Direct trail capital funding for rural recreation corridors.,Direct trail capital funding for rural recreation corridors.
RERC-FND-0163,Funding,Transportation Alternatives Set-Aside,Iowa Department of Transportation; MPOs; RPAs,Recurring,2026-06-09,Iowa,Cities; counties; school districts; eligible organizations,Mixed,bike-ped; recreational trails; safe routes; historic preservation; habitat connectivity,Grant,Statewide program retains $5M per apportionment year,Federal-aid match requirements,Statewide applications generally due Oct 1; regional deadlines vary,"Connects trails, sidewalks, and visitor districts in rural towns.","Connects trails, sidewalks, and visitor districts in rural towns."
RERC-FND-0156,Funding,Community Catalyst Building Remediation Program,Iowa Economic Development Authority,Recurring,2026-06-09,Iowa,Cities applying for remediation or redevelopment of underutilized buildings,Mixed,downtown buildings; remediation; redevelopment; underutilized buildings,Grant,"Historically up to $100,000; current amount should be verified against the FY27 NOFA",Local match requirements should be verified against current NOFA,"New Chapter 45 rule effective May 20, 2026","Supports rural downtown building reuse for visitor services, food, lodging, outfitters, and community hubs.","Supports rural downtown building reuse for visitor services, food, lodging, outfitters, and community hubs"
RERC-FND-0160,Funding,Regional Sports Authority District Program,Iowa Tourism Office; Iowa Economic Development Authority,Open when checked,2026-06-09,Iowa,Convention and visitors bureaus with eligible district board,Implementation,sports tourism; event promotion; overnight stays,Grant,$750k total; $75k per participant,50 percent cash match,FY2026 cycle,Supports sports events that bring visitors to rural and regional recreation destinations.,Supports sports events that bring visitors to rural and regional recreation destinations.
RERC-FND-0167,Funding,Public Art and Murals Grant,Kansas Arts Commission,Recurring,2026-06-09,Kansas,Kansas 501c3s; local governments; federally recognized tribes,Implementation,public art; murals; placemaking; cultural tourism,Grant,up to $10000,1:1 cash/in-kind match,February 23 to March 23 2026; annual grant period July 1 to June 30,Supports visible placemaking and destination identity in rural main streets and trail towns.,Supports visible placemaking and destination identity in rural main streets and trail towns.
RERC-FND-0165,Funding,Historic Economic Asset Lifeline,Kansas Department of Commerce Office of Rural Prosperity,Recurring,2026-06-09,Kansas,local governments; tribes; Main Street programs; EDCs; chambers; 501c3 or 501c6; community foundations,Construction,downtown; adaptive reuse; arts; housing; entrepreneurship,Grant,up to $100000 typical,1:1 cash match,HEAL 7.0 to be announced later in 2026,"Reuses vacant downtown buildings for visitor-serving businesses, arts, housing, and civic uses.","Reuses vacant downtown buildings for visitor-serving businesses, arts, housing, and civic uses."
RERC-FND-0166,Funding,Historic Economic Asset Lifeline Program,Kansas Department of Commerce; Office of Rural Prosperity,Recurring,2026-06-09,Kansas,Rural Kansas building owners and community partners for underused downtown buildings,Construction,rural downtown; building rehab; adaptive reuse; entrepreneurship,Grant,"Building grants up to $30 per square foot; max $100,000",1:1 cash match from building owner,"2026 awards announced May 13, 2026; future rounds anticipated but not dated in reviewed source","Reuses vacant rural buildings for visitor-serving businesses, civic hubs, arts, food, and lodging.","Reuses vacant rural buildings for visitor-serving businesses, civic hubs, arts, food, and lodging"
RERC-FND-0164,Funding,Attraction Development Grant,Kansas Tourism; Kansas Department of Commerce,Recurring,2026-06-09,Kansas,"Public, private, and nonprofit attraction developers",Mixed,tourism product; attractions; visitor experience; capital enhancement,Grant,"2026 round totaled $1,000,000; example awards $16,000-$100,000","Local match required; 2026 recipients leveraged over $12,000,000","2026 awards announced Mar. 11, 2026; next cycle not stated in reviewed source",Supports construction or enhancement of visitor attractions rather than advertising only.,Supports construction or enhancement of visitor attractions rather than advertising only
RERC-FND-0170,Funding,Foundation for Appalachian Kentucky Grant Opportunities,Foundation for Appalachian Kentucky,Open when checked,2026-06-09,Kentucky,organizations and community leaders serving Appalachian Kentucky,Mixed,civic life; community resilience; Appalachian development; local projects,Grant,varies; Thompson 2026 total up to $250000,varies,rolling/opportunity-specific cycles,"Offers flexible regional funding for community capacity, civic projects, and quality-of-place work.","Offers flexible regional funding for community capacity, civic projects, and quality-of-place work."
RERC-FND-0174,Funding,Thompson Charitable Regranting Program,Foundation for Appalachian Kentucky; Thompson Charitable Foundation,Recurring,2026-06-09,Kentucky,"501(c)(3) nonprofits serving Bell, Clay, Laurel, or Leslie counties",Mixed,community resilience; economic development; nonprofit capacity,Grant,"2026 total up to $250,000; grants $5,000-$25,000",Not stated in reviewed source,2026 applications Apr. 15-May 31,Flexible rural-community funding can support quality-of-life and visitor-readiness projects.,Flexible rural-community funding can support quality-of-life and visitor-readiness projects
RERC-FND-0169,Funding,County Agricultural Incentives Program: Value-Added and Agritourism Development,Kentucky Agricultural Development Fund; Kentucky Office of Agricultural Policy,Open when checked,2026-06-09,Kentucky,Kentucky agricultural producers through county agricultural development councils,Mixed,agritourism; value-added agriculture; farm visitor infrastructure,Rebate,County-determined limits; eligible agritourism items reimbursed at 50%; value-added items often 75%,Producer cost share required,"2026 guidelines effective Jan. 1, 2026","Funds on-farm agritourism facilities, safety/site prep, and value-added visitor products.","Funds on-farm agritourism facilities, safety/site prep, and value-added visitor products"
RERC-FND-0168,Funding,Community Development Block Grant,Kentucky Department for Local Government,Open when checked,2026-06-09,Kentucky,eligible non-entitlement cities and counties,Mixed,public facilities; infrastructure; housing; economic development,Grant,up to $750000 for community projects; other categories vary,varies,2026 applications accepted April 1 to September 2 or January 30 depending category,"Funds the basic facilities, infrastructure, and downtown improvements rural recreation towns need.","Funds the basic facilities, infrastructure, and downtown improvements rural recreation towns need."
RERC-FND-0173,Funding,Regional Marketing and Matching Funds Program,Kentucky Department of Tourism,Recurring,2026-06-09,Kentucky,local nonprofit tourism organizations,Implementation,tourism marketing; events; visitor promotion; websites; media,Grant,$2M awarded statewide in 2026; local awards vary,matching funds program,annual; 2025-2026 reimbursements due August 1 2026,"Helps rural DMOs market trails, downtowns, festivals, heritage routes, and outdoor assets.","Helps rural DMOs market trails, downtowns, festivals, heritage routes, and outdoor assets."
RERC-FND-0171,Funding,Kentucky Proud Grant Opportunities,Kentucky Proud; Kentucky Department of Agriculture,Recurring,2026-07-13,Kentucky,"Kentucky Proud members, restaurants, events, and farm-impact businesses",Mixed,local food; farm retail; agritourism; events; marketing,Grant,Up to 50% reimbursement for eligible future advertising and marketing expenses,Cost share varies by grant,Applications are reviewed monthly. Use the current Kentucky Proud application on the program information.,Marketing and local-food cost-share opportunities for eligible Kentucky Proud members.,"Supports farm stands, food trails, agritourism events, and local visitor spending"
RERC-FND-0175,Funding,Tourism Development Incentive Program,Kentucky Tourism Arts and Heritage Cabinet,Open when checked,2026-06-09,Kentucky,eligible tourism project developers,Mixed,tourism attraction; lodging; entertainment; historic building reuse,Rebate,up to 25 percent of approved development costs over 10 years; some projects higher,applicant pays required study; no grant match,authority meets monthly,"Supports destination-scale attractions, lodging, and adaptive reuse that drive visitor spending.","Supports destination-scale attractions, lodging, and adaptive reuse that drive visitor spending."
RERC-FND-0176,Funding,Transportation Alternatives Program,Kentucky Transportation Cabinet Office of Local Programs,Recurring,2026-06-09,Kentucky,local public agencies; eligible entities partnering with local government,Mixed,bike/ped; Safe Routes; historic transportation; environmental mitigation,Grant,varies,20 percent local match,FFY26 cycle closed January 26 2026,"Funds walk-bike access between downtowns, schools, parks, trailheads, and visitor nodes.","Funds walk-bike access between downtowns, schools, parks, trailheads, and visitor nodes."
RERC-FND-0172,Funding,Mountain Association Energy and Lending Support,Mountain Association,Open when checked,2026-06-09,Kentucky,"Businesses, nonprofits, governments, schools, and commercial energy users",Mixed,rural business; nonprofit facilities; energy savings; Appalachia,Loan,"Energy efficiency loans up to $50,000 at 5% interest with up to 72-month terms",No formal match stated; loan underwriting applies,Rolling inquiry,"Offers finance and technical help for eastern Kentucky outdoor, food, lodging, and community facilities.","Offers finance and technical help for eastern Kentucky outdoor, food, lodging, and community facilities"
RERC-FND-0182,Funding,Transportation Alternatives Program,Louisiana Department of Transportation and Development,Recurring,2026-06-09,Louisiana,local public agencies and eligible sponsors,Mixed,bike/ped; Safe Routes; scenic; historic transportation,Grant,varies,typically 80 percent federal; 20 percent local,2025 application materials posted; next cycle not yet confirmed,"Supports walking, biking, and trail links between rural town centers and outdoor assets.","Supports walking, biking, and trail links between rural town centers and outdoor assets."
RERC-FND-0181,Funding,Louisiana Outdoors Forever,Louisiana Department of Wildlife and Fisheries,Recurring,Not recorded,Louisiana,public agencies; nonprofits; conservation partners,Mixed,conservation; habitat; land management; public access,Grant,varies,designed to provide match or leverage for other grants,The 2026 funding cycle has ended; watch the program information for the next round.,Conservation funding for land.,"Helps secure conservation lands and public access that underpin hunting, fishing, paddling, and nature tourism."
RERC-FND-0179,Funding,Historic Preservation Fund Grants 2026-2027,Louisiana Division of Historic Preservation,Cycle closed,2026-07-13,Louisiana,"Local governments, nonprofits, and preservation partners depending on project type",Mixed,historic preservation; surveys; nominations; heritage interpretation,Grant,Amount not stated in reviewed page,Match not stated in reviewed page,"The 2026 letter-of-interest deadline was April 29. Applications were open May 1-31, 2026.","Funds heritage documentation and interpretation that can support cultural routes, visitor sites, and downtown reuse.","Funds heritage documentation and interpretation that can support cultural routes, visitor sites, and downtown reuse"
RERC-FND-0640,Funding,Community Water Enrichment Fund and Local Government Assistance Program,Louisiana Office of Community Development Local Government Assistance,Available,2026-06-09,Louisiana,local governments,Mixed,water; sewer; public facilities; local infrastructure,Grant,varies by legislative appropriation,None,annual legislative/program cycle,"Water, sewer, and local facility upgrades often unlock visitor-serving recreation and downtown projects.","Water, sewer, and local facility upgrades often unlock visitor-serving recreation and downtown projects."
RERC-FND-0641,Funding,LCDBG Make a Difference Program,Louisiana Office of Community Development Local Government Assistance,Available,2026-06-09,Louisiana,units of general local government in eligible areas,Mixed,comprehensive community development; infrastructure; facilities; revitalization,Grant,varies; admin request up to $100000,None,FY2026 awards announced April 1 2026; future cycle expected,"Flexible CDBG source for rural downtown, public facility, and infrastructure improvements.","Flexible CDBG source for rural downtown, public facility, and infrastructure improvements."
RERC-FND-0178,Funding,Cultural Districts Program,Louisiana Office of Cultural Development,Cycle closed,2026-07-13,Louisiana,local governments; property owners; artists; cultural businesses,Mixed,arts; cultural tourism; historic rehab; downtown,Rebate,sales tax exemption for original art; historic rehab credit access varies,no grant match,Letters of interest and applications were closed when checked.,"Strengthens cultural districts, art sales, and historic building reuse in visitor corridors.","Strengthens cultural districts, art sales, and historic building reuse in visitor corridors."
RERC-FND-0180,Funding,Land and Water Conservation Fund,Louisiana Office of State Parks,Recurring,2026-07-13,Louisiana,state and local public agencies,Mixed,parks; outdoor recreation; public access,Grant,varies,typically 50 percent federal,cycle-specific; verify current application packet,"Core capital source for parks, boat launches, playgrounds, trailheads, and outdoor recreation facilities.","Core capital source for parks, boat launches, playgrounds, trailheads, and outdoor recreation facilities."
RERC-FND-0177,Funding,Cooperative Marketing Program FY2026,Louisiana Office of Tourism,Cycle closed,2026-07-13,Louisiana,"Louisiana CVBs, tourist commissions, DMOs, and political subdivisions authorized to promote tourism",Implementation,tourism co-op; events; visitor marketing,Grant,"Maximum award $10,000",50% match; reimbursement basis,"The 2026 application period closed June 9, 2026.",Helps rural tourism partners buy media for events and attractions when local budgets are thin.,Helps rural tourism partners buy media for events and attractions when local budgets are thin
RERC-FND-0193,Funding,Small Business Loans,"Coastal Enterprises, Inc.",Open when checked,2026-06-09,Maine,Maine entrepreneurs and small businesses,Mixed,rural business; working waterfront; tourism; food; equipment; real estate,Loan,Varies,Repayment required,Rolling loan inquiry,"Can support Maine outdoor recreation, hospitality, food, marine, and local service businesses in rural destinations.","Can support Maine outdoor recreation, hospitality, food, marine, and local service businesses in rural destinations."
RERC-FND-0183,Funding,Business and Nonprofit Electric Vehicle Rebates,Efficiency Maine,Open when checked,2026-06-09,Maine,"Businesses, nonprofits, LLCs, partnerships, and similar entities titling vehicles in business name",Implementation,EV fleet; clean transportation; shuttle; visitor mobility,Rebate,"New EV $4,000; used EV $3,000; commercial electric van $12,000-$14,000 with preapproval",Purchase required; lease not eligible,"Limited-time $1,000 bonus expired Apr. 30, 2026; base rebates active per reviewed page","Helps outfitters, shuttle operators, parks partners, and visitor-serving nonprofits reduce fleet costs.","Helps outfitters, shuttle operators, parks partners, and visitor-serving nonprofits reduce fleet costs"
RERC-FND-0184,Funding,Commercial and Industrial Prescriptive Initiatives,Efficiency Maine,Open when checked,2026-06-09,Maine,"Businesses, nonprofits, municipalities, schools, higher education, industrial facilities, multifamily with 3+ units, mixed-use buildings",Mixed,energy efficiency; heating; cooling; lighting; multifamily; mixed-use,Rebate,Measure-based incentives; amount varies,Customer share varies by measure,Rolling by program and measure,"Lowers operating costs for recreation businesses, inns, restaurants, museums, and municipal visitor facilities.","Lowers operating costs for recreation businesses, inns, restaurants, museums, and municipal visitor facilities"
RERC-FND-0185,Funding,Commercial and Industrial Prescriptive and Custom Incentives,Efficiency Maine,Open when checked,2026-06-09,Maine,"Commercial, industrial, nonprofit, public, and institutional customers",Mixed,"HVAC, lighting, kitchen equipment, custom efficiency, lodging",Rebate,Measure-specific; custom incentives project-specific,Customer pays remaining cost,Ongoing while funds are available,"Lodges, restaurants, outfitters, and public visitor facilities can reduce operating costs.","Lodges, restaurants, outfitters, and public visitor facilities can reduce operating costs."
RERC-FND-0188,Funding,Land and Water Conservation Fund,Maine DACF Bureau of Parks and Lands,Cycle closed,2026-07-13,Maine,State of Maine; counties; municipalities; school districts; tribal nations,Mixed,parks; public outdoor recreation; trails; facilities,Grant,2026 maximum $1000000,up to 50 percent federal,"The 2026 deadline was June 26, 2026.","Direct funding for parks, trails, waterfront access, and public recreation facilities.","Direct funding for parks, trails, waterfront access, and public recreation facilities."
RERC-FND-0192,Funding,Recreational Trails Program and Maine Trails Program,Maine DACF Bureau of Parks and Lands,Open when checked,2026-06-09,Maine,municipalities; qualified subdivisions of state government; qualified nonprofits,Mixed,trails; trail rehabilitation; trail access; motorized; nonmotorized,Grant,varies,up to 80 percent federal,2026 applicants directed to Maine Trails Program,Builds and repairs the trail networks that drive rural outdoor recreation visitation.,Builds and repairs the trail networks that drive rural outdoor recreation visitation.
RERC-FND-0189,Funding,Land for Maine's Future,"Maine Department of Agriculture, Conservation and Forestry",Open when checked,2026-06-09,Maine,"State, local, land trust, and conservation partners",Mixed,land conservation; public access; working lands; trails,Financing,Varies by project and available bond or appropriation funding,Matching funds encouraged and commonly required,Board meetings and funding opportunities announced by LMF,Conserves lands and public access assets that support outdoor recreation economies.,Conserves lands and public access assets that support outdoor recreation economies
RERC-FND-0190,Funding,Maine CDBG Program,Maine Department of Economic and Community Development,Open when checked,2026-06-09,Maine,eligible units of general local government,Mixed,downtown revitalization; public infrastructure; housing; economic development,Grant,varies by CDBG program; downtown revitalization commonly up to $1000000,varies,2026 Program Statement governs current cycles,"Funds downtown, infrastructure, and community development projects for rural visitor centers.","Funds downtown, infrastructure, and community development projects for rural visitor centers."
RERC-FND-0191,Funding,Maine Outdoor Heritage Fund,Maine Department of Inland Fisheries and Wildlife; MOHF Board,Recurring,2026-06-09,Maine,proposals submitted through authorized natural resource agency representatives,Mixed,conservation; public lands; outdoor recreation; access,Grant,varies; more than $28M awarded since inception,no required match; 1/3 cash match receives priority,semiannual grant rounds,"Supports public lands, access, habitat, and outdoor recreation sites that attract visitors.","Supports public lands, access, habitat, and outdoor recreation sites that attract visitors."
RERC-FND-0187,Funding,Historic Community Buildings Grant Program,Maine Historic Preservation Commission,Recurring,2026-06-09,Maine,"State agencies, counties, municipalities, educational institutions, and private nonprofits; property must meet program criteria",Mixed,historic buildings; downtown rehab; heritage tourism,Grant,"$10,000-$30,000",75:25 match for Historic Preservation Grants; CLG grants require dollar-for-dollar nonfederal match,Updated May 2026; applications generally available late winter,Supports historic civic and visitor-facing buildings in rural downtowns and heritage corridors.,Supports historic civic and visitor-facing buildings in rural downtowns and heritage corridors
RERC-FND-0186,Funding,Community Resilience Partnership Community Action Grants,Maine Office of Community Affairs,Cycle closed,2026-07-13,Maine,enrolled municipalities; tribal governments; plantations; townships; unorganized territories,Mixed,resilience; energy; bike/ped; culverts; flooding; municipal facilities,Grant,$5000 to $75000 individual; up to $175000 group; $5.25M round,no match stated,"The 2026 deadline was June 19, 2026.",Funds resilience and access upgrades that protect rural recreation assets from storms and flooding.,Funds resilience and access upgrades that protect rural recreation assets from storms and flooding.
RERC-FND-0642,Funding,Community Resilience Partnership Service Provider Grants,Maine Office of Community Affairs,Available,2026-06-09,Maine,service provider organizations assisting groups of communities,Mixed,capacity; climate planning; grant readiness; regional assistance,Grant,varies by track,None,due June 19 2026,Adds planning capacity for small towns that lack staff to package recreation-resilience projects.,Adds planning capacity for small towns that lack staff to package recreation-resilience projects.
RERC-FND-0204,Funding,Recreational Trails Program,Maryland DOT,Recurring,2026-06-09,Maryland,"State and local government agencies, nonprofits, and trail organizations in Maryland",Construction,Recreation; Conservation; Energy/Climate,Grant,"Up to $250,000 per project (80% federal / 20% local match)",Yes,Check with the program,"Develops and maintains recreational trails for non-motorized and motorized trail users; trail construction, maintenance, restoration, and safety improvements.",May support rural community goals related to recreation and conservation. Confirm current eligibility and project fit with the program.
RERC-FND-0206,Funding,Transportation Alternatives Program,Maryland DOT,Recurring,2026-06-09,Maryland,"State and local governments, transit agencies, MPOs, and natural resource agencies in Maryland",Construction,Infrastructure; Recreation; Conservation; Historic/Cultural; Energy/Climate,Grant,"Varies; federal aid program; projects typically $200,000-$2M (80/20 federal/local match)",Yes,Check with the program,"Funds non-motorized transportation alternatives: pedestrian/bike infrastructure, scenic byways, historic preservation, environmental mitigation, recreational trails connecting communities.",May support rural community goals related to infrastructure and recreation. Confirm current eligibility and project fit with the program.
